masked_number;description;mask;imported
03.00.00.000.000;OUTROS SERVIÇOS DE TERCEIROS – PESSOA JURÍDICA;99.99.99.999.999;true
03.01.00.000.000;ASSINATURAS DE PERIÓDICOS E ANUIDADES;99.99.99.999.999;true
03.02.00.000.000;CONDOMÍNIOS;99.99.99.999.999;true
03.03.00.000.000;COMISSÕES E CORRETAGENS;99.99.99.999.999;true
03.04.00.000.000;DIREITOS AUTORAIS;99.99.99.999.999;true
03.05.00.000.000;SERVIÇOS TÉCNICOS PROFISSIONAIS;99.99.99.999.999;true
03.06.00.000.000;CAPATAZIA, ESTIVA E PESAGEM;99.99.99.999.999;true
03.07.00.000.000;DESCONTOS FINANCEIROS CONCEDIDOS;99.99.99.999.999;true
03.08.00.000.000;MANUTENÇÃO DE SOFTWARE;99.99.99.999.999;true
03.09.00.000.000;ARMAZENAGEM;99.99.99.999.999;true
03.10.00.000.000;LOCAÇÃO DE IMÓVEIS;99.99.99.999.999;true
03.11.00.000.000;LOCAÇÃO DE SOFTWARES;99.99.99.999.999;true
03.12.00.000.000;LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;99.99.99.999.999;true
03.14.00.000.000;LOCAÇÃO BENS MÓVEIS E OUTRAS NATUREZAS E INTANGÍVEIS;99.99.99.999.999;true
03.16.00.000.000;MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;99.99.99.999.999;true
03.17.00.000.000;MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS;99.99.99.999.999;true
03.19.00.000.000;MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS;99.99.99.999.999;true
03.20.00.000.000;MANUTENÇÃO E CONSERVAÇÃO DE BENS MÓVEIS DE OUTRAS NATUREZAS;99.99.99.999.999;true
03.21.00.000.000;MANUTENÇÃO E CONSERVAÇÃO DE ESTRADAS E VIAS;99.99.99.999.999;true
03.22.00.000.000;EXPOSIÇÕES, CONGRESSOS E CONFERÊNCIAS;99.99.99.999.999;true
03.23.00.000.000;FESTIVIDADES E HOMENAGENS;99.99.99.999.999;true
03.35.00.000.000;MULTAS DEDUTÍVEIS;99.99.99.999.999;true
03.36.00.000.000;MULTAS INDEDUTÍVEIS;99.99.99.999.999;true
03.37.00.000.000;JUROS;99.99.99.999.999;true
03.38.00.000.000;ENCARGOS FINANCEIROS DEDUTÍVEIS;99.99.99.999.999;true
03.39.00.000.000;ENCARGOS FINANCEIROS INDEDUTÍVEIS;99.99.99.999.999;true
03.40.00.000.000;PROGRAMA DE ALIMENTAÇÃO DO TRABALHADOR;99.99.99.999.999;true
03.41.00.000.000;FORNECIMENTO DE ALIMENTAÇÃO;99.99.99.999.999;true
03.42.00.000.000;SERVIÇOS DE CARÁTER SECRETO OU RESERVADO;99.99.99.999.999;true
03.43.00.000.000;SERVIÇOS DE ENERGIA ELÉTRICA;99.99.99.999.999;true
03.44.00.000.000;SERVIÇOS DE ÁGUA E ESGOTO;99.99.99.999.999;true
03.45.00.000.000;SERVIÇOS DE GÁS;99.99.99.999.999;true
03.46.00.000.000;SERVIÇOS DOMÉSTICOS;99.99.99.999.999;true
03.47.00.000.000;SERVIÇOS DE COMUNICAÇÃO EM GERAL;99.99.99.999.999;true
03.48.00.000.000;SERVIÇO DE SELEÇÃO E TREINAMENTO;99.99.99.999.999;true
03.49.00.000.000;PRODUÇÕES JORNALÍSTICAS;99.99.99.999.999;true
03.50.00.000.000;SERVIÇO MÉDICO-HOSPITAL, ODONTOLÓGICO E LABORATORIAIS;99.99.99.999.999;true
03.51.00.000.000;SERVIÇOS DE ANÁLISES E PESQUISAS CIENTÍFICAS;99.99.99.999.999;true
03.52.00.000.000;SERVIÇOS DE REABILITAÇÃO PROFISSIONAL;99.99.99.999.999;true
03.53.00.000.000;SERVIÇOS DE ASSISTÊNCIA SOCIAL;99.99.99.999.999;true
03.54.00.000.000;SERVIÇOS DE CRECHES E ASSISTÊNCIA PRÉ-ESCOLAR;99.99.99.999.999;true
03.56.00.000.000;SERVIÇOS DE PERÍCIAS MÉDICAS POR BENEFÍCIOS;99.99.99.999.999;true
03.57.00.000.000;SERVIÇOS DE PROCESSAMENTO DE DADOS;99.99.99.999.999;true
03.58.00.000.000;SERVIÇOS DE TELECOMUNICAÇÕES;99.99.99.999.999;true
03.59.00.000.000;SERVIÇOS DE ÁUDIO, VÍDEO E FOTO;99.99.99.999.999;true
03.60.00.000.000;SERVIÇOS DE MANOBRA E PATRULHAMENTO;99.99.99.999.999;true
03.61.00.000.000;SERVIÇOS DE SOCORRO E SALVAMENTO;99.99.99.999.999;true
03.62.00.000.000;SERVIÇOS DE PRODUÇÃO INDUSTRIAL;99.99.99.999.999;true
03.63.00.000.000;SERVIÇOS GRÁFICOS;99.99.99.999.999;true
03.65.00.000.000;SERVIÇOS DE APOIO AO ENSINO;99.99.99.999.999;true
03.66.00.000.000;SERVIÇOS JUDICIÁRIOS;99.99.99.999.999;true
03.67.00.000.000;SERVIÇOS FUNERÁRIOS;99.99.99.999.999;true
03.68.00.000.000;SERVIÇO DE CONSERVAÇÃO E REBENEFICIAMENTO DE MERCADORIAS;99.99.99.999.999;true
03.69.00.000.000;SEGUROS EM GERAL;99.99.99.999.999;true
03.70.00.000.000;CONFECÇÃO DE UNIFORMES, BANDEIRAS E FLÂMULAS;99.99.99.999.999;true
03.71.00.000.000;CONFECÇÃO DE MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;99.99.99.999.999;true
03.72.00.000.000;VALE-TRANSPORTE;99.99.99.999.999;true
03.73.00.000.000;TRANSPORTE DE SERVIDORES;99.99.99.999.999;true
03.74.00.000.000;FRETES E TRANSPORTES DE ENCOMENDAS;99.99.99.999.999;true
03.76.00.000.000;CLASSIFICAÇÃO DE PRODUTOS;99.99.99.999.999;true
03.77.00.000.000;VIGILÂNCIA OSTENSIVA;99.99.99.999.999;true
03.78.00.000.000;LIMPEZA E CONSERVAÇÃO;99.99.99.999.999;true
03.79.00.000.000;SERVIÇO DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;99.99.99.999.999;true
03.80.00.000.000;HOSPEDAGENS;99.99.99.999.999;true
