class_number;description;mask;imported
030000000000;OUTROS SERVIÇOS DE TERCEIROS – PESSOA JURÍDICA;99.99.99.999.999;true
030100000000;ASSINATURAS DE PERIÓDICOS E ANUIDADES;99.99.99.999.999;true
030200000000;CONDOMÍNIOS;99.99.99.999.999;true
030300000000;COMISSÕES E CORRETAGENS;99.99.99.999.999;true
030400000000;DIREITOS AUTORAIS;99.99.99.999.999;true
030500000000;SERVIÇOS TÉCNICOS PROFISSIONAIS;99.99.99.999.999;true
030600000000;CAPATAZIA, ESTIVA E PESAGEM;99.99.99.999.999;true
030700000000;DESCONTOS FINANCEIROS CONCEDIDOS;99.99.99.999.999;true
030800000000;MANUTENÇÃO DE SOFTWARE;99.99.99.999.999;true
030900000000;ARMAZENAGEM;99.99.99.999.999;true
031000000000;LOCAÇÃO DE IMÓVEIS;99.99.99.999.999;true
031100000000;LOCAÇÃO DE SOFTWARES;99.99.99.999.999;true
031200000000;LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;99.99.99.999.999;true
031400000000;LOCAÇÃO BENS MÓVEIS E OUTRAS NATUREZAS E INTANGÍVEIS;99.99.99.999.999;true
031600000000;MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;99.99.99.999.999;true
031700000000;MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS;99.99.99.999.999;true
031900000000;MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS;99.99.99.999.999;true
032000000000;MANUTENÇÃO E CONSERVAÇÃO DE BENS MÓVEIS DE OUTRAS NATUREZAS;99.99.99.999.999;true
032100000000;MANUTENÇÃO E CONSERVAÇÃO DE ESTRADAS E VIAS;99.99.99.999.999;true
032200000000;EXPOSIÇÕES, CONGRESSOS E CONFERÊNCIAS;99.99.99.999.999;true
032300000000;FESTIVIDADES E HOMENAGENS;99.99.99.999.999;true
033500000000;MULTAS DEDUTÍVEIS;99.99.99.999.999;true
033600000000;MULTAS INDEDUTÍVEIS;99.99.99.999.999;true
033700000000;JUROS;99.99.99.999.999;true
033800000000;ENCARGOS FINANCEIROS DEDUTÍVEIS;99.99.99.999.999;true
033900000000;ENCARGOS FINANCEIROS INDEDUTÍVEIS;99.99.99.999.999;true
034000000000;PROGRAMA DE ALIMENTAÇÃO DO TRABALHADOR;99.99.99.999.999;true
034100000000;FORNECIMENTO DE ALIMENTAÇÃO;99.99.99.999.999;true
034200000000;SERVIÇOS DE CARÁTER SECRETO OU RESERVADO;99.99.99.999.999;true
034300000000;SERVIÇOS DE ENERGIA ELÉTRICA;99.99.99.999.999;true
034400000000;SERVIÇOS DE ÁGUA E ESGOTO;99.99.99.999.999;true
034500000000;SERVIÇOS DE GÁS;99.99.99.999.999;true
034600000000;SERVIÇOS DOMÉSTICOS;99.99.99.999.999;true
034700000000;SERVIÇOS DE COMUNICAÇÃO EM GERAL;99.99.99.999.999;true
034800000000;SERVIÇO DE SELEÇÃO E TREINAMENTO;99.99.99.999.999;true
034900000000;PRODUÇÕES JORNALÍSTICAS;99.99.99.999.999;true
035000000000;SERVIÇO MÉDICO-HOSPITAL, ODONTOLÓGICO E LABORATORIAIS;99.99.99.999.999;true
035100000000;SERVIÇOS DE ANÁLISES E PESQUISAS CIENTÍFICAS;99.99.99.999.999;true
035200000000;SERVIÇOS DE REABILITAÇÃO PROFISSIONAL;99.99.99.999.999;true
035300000000;SERVIÇOS DE ASSISTÊNCIA SOCIAL;99.99.99.999.999;true
035400000000;SERVIÇOS DE CRECHES E ASSISTÊNCIA PRÉ-ESCOLAR;99.99.99.999.999;true
035600000000;SERVIÇOS DE PERÍCIAS MÉDICAS POR BENEFÍCIOS;99.99.99.999.999;true
035700000000;SERVIÇOS DE PROCESSAMENTO DE DADOS;99.99.99.999.999;true
035800000000;SERVIÇOS DE TELECOMUNICAÇÕES;99.99.99.999.999;true
035900000000;SERVIÇOS DE ÁUDIO, VÍDEO E FOTO;99.99.99.999.999;true
036000000000;SERVIÇOS DE MANOBRA E PATRULHAMENTO;99.99.99.999.999;true
036100000000;SERVIÇOS DE SOCORRO E SALVAMENTO;99.99.99.999.999;true
036200000000;SERVIÇOS DE PRODUÇÃO INDUSTRIAL;99.99.99.999.999;true
036300000000;SERVIÇOS GRÁFICOS;99.99.99.999.999;true
036500000000;SERVIÇOS DE APOIO AO ENSINO;99.99.99.999.999;true
036600000000;SERVIÇOS JUDICIÁRIOS;99.99.99.999.999;true
036700000000;SERVIÇOS FUNERÁRIOS;99.99.99.999.999;true
036800000000;SERVIÇO DE CONSERVAÇÃO E REBENEFICIAMENTO DE MERCADORIAS;99.99.99.999.999;true
036900000000;SEGUROS EM GERAL;99.99.99.999.999;true
037000000000;CONFECÇÃO DE UNIFORMES, BANDEIRAS E FLÂMULAS;99.99.99.999.999;true
037100000000;CONFECÇÃO DE MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;99.99.99.999.999;true
037200000000;VALE-TRANSPORTE;99.99.99.999.999;true
037300000000;TRANSPORTE DE SERVIDORES;99.99.99.999.999;true
037400000000;FRETES E TRANSPORTES DE ENCOMENDAS;99.99.99.999.999;true
037600000000;CLASSIFICAÇÃO DE PRODUTOS;99.99.99.999.999;true
037700000000;VIGILÂNCIA OSTENSIVA;99.99.99.999.999;true
037800000000;LIMPEZA E CONSERVAÇÃO;99.99.99.999.999;true
037900000000;SERVIÇO DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;99.99.99.999.999;true
038000000000;HOSPEDAGENS;99.99.99.999.999;true
038100000000;SERVIÇOS BANCÁRIOS;99.99.99.999.999;true
038300000000;SERVIÇOS DE CÓPIAS E REPRODUÇÃO DE DOCUMENTOS;99.99.99.999.999;true
038500000000;SERVIÇOS EM ITENS REPARÁVEIS DE AVIAÇÃO;99.99.99.999.999;true
038700000000;SERVIÇOS RELACIONADOS À INDUSTRIALIZAÇÃO AEROESPACIAL;99.99.99.999.999;true
038800000000;SERVIÇOS DE PUBLICIDADE E PROPAGANDA;99.99.99.999.999;true
038900000000;MANUTENÇÃO DE REPARTIÇÕES –SERVIÇO EXTERIOR;99.99.99.999.999;true
